time (s), (volts), (volts), (volts)
5851.93,0.60,-0.09,0.13
5851.94,0.60,-0.16,0.08
5851.95,0.60,-0.21,0.05
5851.96,0.60,-0.25,0.01
5851.97,0.60,-0.25,-0.02
5851.98,0.60,-0.26,-0.05
5851.99,0.60,-0.27,-0.08
5852.00,0.60,-0.28,-0.11
5852.01,0.60,-0.28,-0.13
5852.02,0.60,-0.27,-0.15
5852.03,0.60,-0.26,-0.17
5852.04,0.60,-0.25,-0.20
5852.05,0.60,-0.24,-0.22
5852.06,0.60,-0.23,-0.23
5852.07,0.60,-0.21,-0.24
5852.08,0.60,-0.19,-0.24
5852.09,0.60,-0.17,-0.24
5852.10,0.60,-0.14,-0.23
5852.11,0.60,-0.10,-0.23
5852.12,0.60,-0.07,-0.22
5852.13,0.60,-0.04,-0.20
5852.14,0.60,0.01,-0.18
5852.15,0.60,0.06,-0.15
5852.16,0.60,0.11,-0.12
5852.17,0.60,0.15,-0.10
5852.18,0.60,0.20,-0.06
5852.19,0.60,0.24,-0.03
5852.20,0.60,0.27,0.00
5852.21,0.60,0.30,0.03
5852.22,0.60,0.32,0.06
5852.23,0.60,0.34,0.09
5852.24,0.60,0.35,0.13
5852.25,0.60,0.36,0.16
5852.26,0.60,0.35,0.19
5852.27,0.60,0.35,0.22
5852.28,0.60,0.32,0.25
5852.29,0.60,0.31,0.27
5852.30,0.60,0.30,0.29
5852.31,0.60,0.30,0.31
5852.32,0.60,0.29,0.33
5852.33,0.60,0.26,0.34
5852.34,0.60,0.25,0.34
5852.35,0.60,0.19,0.34
5852.36,0.60,0.15,0.33
5852.37,0.60,0.11,0.31
5852.38,0.60,0.07,0.29
5852.39,0.60,0.07,0.26
5852.40,0.60,0.02,0.23
5852.41,0.60,0.00,0.15
5852.42,0.60,-0.06,0.14
5852.43,0.60,-0.09,0.12
5852.44,0.60,-0.15,0.08
5852.45,0.60,-0.21,0.05
5852.46,0.60,-0.25,0.01
5852.47,0.60,-0.25,-0.02
5852.48,0.60,-0.26,-0.05
5852.49,0.60,-0.27,-0.08
5852.50,0.60,-0.28,-0.10
5852.51,0.60,-0.28,-0.13
5852.52,0.60,-0.27,-0.15
5852.53,0.60,-0.26,-0.18
5852.54,0.60,-0.25,-0.19
5852.55,0.60,-0.24,-0.21
5852.56,0.60,-0.23,-0.22
5852.57,0.60,-0.21,-0.23
5852.58,0.60,-0.19,-0.24
5852.59,0.60,-0.17,-0.24
5852.60,0.60,-0.14,-0.23
5852.61,0.60,-0.11,-0.23
5852.62,0.60,-0.07,-0.22
5852.63,0.60,-0.03,-0.20
5852.64,0.60,0.01,-0.18
5852.65,0.60,0.05,-0.15
5852.66,0.60,0.10,-0.12
5852.67,0.60,0.15,-0.10
5852.68,0.60,0.19,-0.07
5852.69,0.60,0.23,-0.03
5852.70,0.60,0.26,0.00
5852.71,0.60,0.29,0.03
5852.72,0.60,0.32,0.06
5852.73,0.60,0.33,0.09
5852.74,0.60,0.34,0.13
5852.75,0.60,0.35,0.16
5852.76,0.60,0.35,0.19
5852.77,0.60,0.35,0.22
5852.78,0.60,0.33,0.24
5852.79,0.60,0.33,0.27
5852.80,0.60,0.32,0.29
5852.81,0.60,0.30,0.31
5852.82,0.60,0.28,0.32
5852.83,0.60,0.26,0.33
5852.84,0.60,0.22,0.33
5852.85,0.60,0.18,0.33
5852.86,0.60,0.15,0.32
5852.87,0.60,0.11,0.30
5852.88,0.60,0.07,0.28
5852.89,0.60,0.07,0.25
5852.90,0.60,0.04,0.22
5852.91,0.60,-0.02,0.19
5852.92,0.60,-0.04,0.15
5852.93,0.60,-0.09,0.12
5852.94,0.60,-0.16,0.08
5852.95,0.60,-0.21,0.05
5852.96,0.60,-0.24,0.01
5852.97,0.60,-0.24,-0.02
5852.98,0.60,-0.25,-0.05
5852.99,0.60,-0.27,-0.08
5853.00,0.60,-0.27,-0.11
5853.01,0.60,-0.27,-0.13
5853.02,0.60,-0.27,-0.16
5853.03,0.60,-0.26,-0.18
5853.04,0.60,-0.25,-0.20
5853.05,0.60,-0.24,-0.21
5853.06,0.60,-0.23,-0.23
5853.07,0.60,-0.21,-0.24
5853.08,0.60,-0.19,-0.24
5853.09,0.60,-0.17,-0.24
5853.10,0.60,-0.14,-0.24
5853.11,0.60,-0.11,-0.22
5853.12,0.60,-0.08,-0.22
5853.13,0.60,-0.03,-0.20
5853.14,0.60,0.01,-0.18
5853.15,0.60,0.05,-0.15
5853.16,0.60,0.10,-0.12
5853.17,0.60,0.15,-0.10
5853.18,0.60,0.20,-0.07
5853.19,0.60,0.23,-0.03
5853.20,0.60,0.27,0.00
5853.21,0.60,0.30,0.03
5853.22,0.60,0.32,0.06
5853.23,0.60,0.34,0.10
5853.24,0.60,0.35,0.13
5853.25,0.60,0.36,0.16
5853.26,0.60,0.36,0.20
5853.27,0.60,0.36,0.22
5853.28,0.60,0.34,0.25
5853.29,0.60,0.31,0.27
5853.30,0.60,0.30,0.30
5853.31,0.60,0.28,0.31
5853.32,0.60,0.27,0.32
5853.33,0.60,0.24,0.34
5853.34,0.60,0.21,0.34
5853.35,0.60,0.18,0.34
5853.36,0.60,0.15,0.33
5853.37,0.60,0.11,0.31
5853.38,0.60,0.08,0.28
5853.39,0.60,0.07,0.26
5853.40,0.60,0.04,0.22
5853.41,0.60,0.00,0.16
5853.42,0.60,-0.04,0.16
5853.43,0.60,-0.09,0.12
5853.44,0.60,-0.17,0.08
5853.45,0.60,-0.21,0.04
5853.46,0.60,-0.24,0.01
5853.47,0.60,-0.24,-0.03
5853.48,0.60,-0.26,-0.06
5853.49,0.60,-0.27,-0.08
5853.50,0.60,-0.28,-0.11
5853.51,0.60,-0.28,-0.14
5853.52,0.60,-0.28,-0.16
5853.53,0.60,-0.27,-0.18
5853.54,0.60,-0.26,-0.20
5853.55,0.60,-0.24,-0.22
5853.56,0.60,-0.23,-0.23
5853.57,0.60,-0.21,-0.24
5853.58,0.60,-0.19,-0.25
5853.59,0.60,-0.17,-0.25
5853.60,0.60,-0.14,-0.24
5853.61,0.60,-0.10,-0.22
5853.62,0.60,-0.08,-0.21
5853.63,0.60,-0.04,-0.20
5853.64,0.60,0.01,-0.17
5853.65,0.60,0.05,-0.15
5853.66,0.60,0.10,-0.12
5853.67,0.60,0.15,-0.09
