time_s,volts,Force_newtons,,,correction factor,0.0081
6944.87,-0.00019,-0.02345679,,,,
6944.88,-0.000199,-0.024567901,,,,
6944.89,-0.00018,-0.022222222,,,,
6944.9,-0.00017,-0.020987654,,,,
6944.91,-0.00019,-0.02345679,,,,
6944.92,-0.000199,-0.024567901,,,,
6944.93,-0.00019,-0.02345679,,,,
6944.94,-0.00016,-0.019753086,,,,
6944.95,-0.000151,-0.018641975,,,,
6944.96,-0.00017,-0.020987654,,,,
6944.97,-0.000141,-0.017407407,,,,
6944.98,-0.000141,-0.017407407,,,,
6944.99,-0.000151,-0.018641975,,,,
6945,-0.000112,-0.01382716,,,,
6945.01,-0.00016,-0.019753086,,,,
6945.02,-0.000141,-0.017407407,,,,
6945.03,-0.000121,-0.014938272,,,,
6945.04,-0.00018,-0.022222222,,,,
6945.05,-0.000141,-0.017407407,,,,
6945.06,-0.000131,-0.01617284,,,,
6945.07,-0.000131,-0.01617284,,,,
6945.08,-0.000112,-0.01382716,,,,
6945.09,-0.000112,-0.01382716,,,,
6945.1,-0.000102,-0.012592593,,,,
6945.11,-0.000121,-0.014938272,,,,
6945.12,-0.000112,-0.01382716,,,,
6945.13,-0.000073,-0.009012346,,,,
6945.14,-0.000092,-0.011358025,,,,
6945.15,-0.000073,-0.009012346,,,,
6945.16,-0.000053,-0.00654321,,,,
6945.17,-0.000063,-0.007777778,,,,
6945.18,-0.000082,-0.010123457,,,,
6945.19,-0.000063,-0.007777778,,,,
6945.2,-0.000082,-0.010123457,,,,
6945.21,-0.000102,-0.012592593,,,,
6945.22,-0.000014,-0.001728395,,,,
6945.23,-0.000082,-0.010123457,,,,
6945.24,-0.000053,-0.00654321,,,,
6945.25,-0.000102,-0.012592593,,,,
6945.26,-0.000063,-0.007777778,,,,
6945.27,-0.000082,-0.010123457,,,,
6945.28,-0.000053,-0.00654321,,,,
6945.29,-0.000033,-0.004074074,,,,
6945.3,-0.000043,-0.005308642,,,,
6945.31,-0.000043,-0.005308642,,,,
6945.32,-0.000092,-0.011358025,,,,
6945.33,-0.000073,-0.009012346,,,,
6945.34,-0.000053,-0.00654321,,,,
6945.35,-0.000053,-0.00654321,,,,
6945.36,-0.000063,-0.007777778,,,,
6945.37,-0.000063,-0.007777778,,,,
6945.38,-0.000053,-0.00654321,,,,
6945.39,-0.000033,-0.004074074,,,,
6945.4,-0.000053,-0.00654321,,,,
6945.41,-0.000063,-0.007777778,,,,
6945.42,-0.000073,-0.009012346,,,,
6945.43,-0.000092,-0.011358025,,,,
6945.44,-0.000053,-0.00654321,,,,
6945.45,-0.000024,-0.002962963,,,,
6945.46,-0.000053,-0.00654321,,,,
6945.47,-0.000024,-0.002962963,,,,
6945.48,-0.000033,-0.004074074,,,,
6945.49,-0.000014,-0.001728395,,,,
6945.5,0.000025,0.00308642,,,,
6945.51,-0.000043,-0.005308642,,,,
6945.52,-0.000033,-0.004074074,,,,
6945.53,0.000054,0.006666667,,,,
6945.54,0.000015,0.001851852,,,,
6945.55,0.000015,0.001851852,,,,
6945.56,0.000035,0.004320988,,,,
6945.57,0.000006,0.000740741,,,,
6945.58,0.000006,0.000740741,,,,
6945.59,0.000025,0.00308642,,,,
6945.6,0.000045,0.005555556,,,,
6945.61,0.000045,0.005555556,,,,
6945.62,0.000045,0.005555556,,,,
6945.63,0.000074,0.009135802,,,,
6945.64,0.000064,0.007901235,,,,
6945.65,0.000093,0.011481481,,,,
6945.66,0.000084,0.01037037,,,,
6945.67,0.000084,0.01037037,,,,
6945.68,0.000084,0.01037037,,,,
6945.69,0.000123,0.015185185,,,,
6945.7,0.000152,0.018765432,,,,
6945.71,0.000152,0.018765432,,,,
6945.72,0.000152,0.018765432,,,,
6945.73,0.000133,0.016419753,,,,
6945.74,0.000181,0.022345679,,,,
6945.75,0.000142,0.017530864,,,,
6945.76,0.000191,0.023580247,,,,
6945.77,0.000211,0.026049383,,,,
6945.78,0.000191,0.023580247,,,,
6945.79,0.000172,0.021234568,,,,
6945.8,0.000191,0.023580247,,,,
6945.81,0.000181,0.022345679,,,,
6945.82,0.000191,0.023580247,,,,
6945.83,0.00022,0.027160494,,,,
6945.84,0.000152,0.018765432,,,,
6945.85,0.000181,0.022345679,,,,
6945.86,0.00022,0.027160494,,,,
6945.87,0.000201,0.024814815,,,,
6945.88,0.00022,0.027160494,,,,
6945.89,0.000181,0.022345679,,,,
6945.9,0.000181,0.022345679,,,,
6945.91,0.000172,0.021234568,,,,
6945.92,0.000201,0.024814815,,,,
6945.93,0.000201,0.024814815,,,,
6945.94,0.000211,0.026049383,,,,
6945.95,0.000162,0.02,,,,
6945.96,0.000123,0.015185185,,,,
6945.97,0.000162,0.02,,,,
6945.98,0.000142,0.017530864,,,,
6945.99,0.000191,0.023580247,,,,
6946,0.000201,0.024814815,,,,
6946.01,0.000162,0.02,,,,
6946.02,0.000162,0.02,,,,
6946.03,0.000162,0.02,,,,
6946.04,0.000201,0.024814815,,,,
6946.05,0.000191,0.023580247,,,,
6946.06,0.000162,0.02,,,,
6946.07,0.000152,0.018765432,,,,
6946.08,0.000142,0.017530864,,,,
6946.09,0.000133,0.016419753,,,,
6946.1,0.000181,0.022345679,,,,
6946.11,0.000181,0.022345679,,,,
6946.12,0.000142,0.017530864,,,,
6946.13,0.000123,0.015185185,,,,
6946.14,0.000133,0.016419753,,,,
6946.15,0.000084,0.01037037,,,,
6946.16,0.000123,0.015185185,,,,
6946.17,0.000113,0.013950617,,,,
6946.18,0.000103,0.012716049,,,,
6946.19,0.000064,0.007901235,,,,
6946.2,0.000074,0.009135802,,,,
6946.21,0.000074,0.009135802,,,,
6946.22,0.000074,0.009135802,,,,
6946.23,0.000025,0.00308642,,,,
6946.24,0.000025,0.00308642,,,,
6946.25,0.000006,0.000740741,,,,
6946.26,-0.000043,-0.005308642,,,,
6946.27,-0.000024,-0.002962963,,,,
6946.28,-0.000024,-0.002962963,,,,
6946.29,-0.000082,-0.010123457,,,,
6946.3,-0.000092,-0.011358025,,,,
6946.31,-0.000102,-0.012592593,,,,
6946.32,-0.00017,-0.020987654,,,,
6946.33,-0.000151,-0.018641975,,,,
6946.34,-0.00018,-0.022222222,,,,
6946.35,-0.00019,-0.02345679,,,,
6946.36,-0.000199,-0.024567901,,,,
6946.37,-0.000219,-0.027037037,,,,
6946.38,-0.000229,-0.028271605,,,,
6946.39,-0.000239,-0.029506173,,,,
6946.4,-0.000229,-0.028271605,,,,
6946.41,-0.000248,-0.030617284,,,,
6946.42,-0.000258,-0.031851852,,,,
6946.43,-0.000278,-0.034320988,,,,
6946.44,-0.000268,-0.03308642,,,,
6946.45,-0.000248,-0.030617284,,,,
6946.46,-0.000278,-0.034320988,,,,
6946.47,-0.000258,-0.031851852,,,,
6946.48,-0.000258,-0.031851852,,,,
6946.49,-0.000258,-0.031851852,,,,
6946.5,-0.000278,-0.034320988,,,,
6946.51,-0.000258,-0.031851852,,,,
6946.52,-0.000258,-0.031851852,,,,
6946.53,-0.000239,-0.029506173,,,,
6946.54,-0.000287,-0.035432099,,,,
6946.55,-0.000248,-0.030617284,,,,
6946.56,-0.000297,-0.036666667,,,,
6946.57,-0.000239,-0.029506173,,,,
6946.58,-0.000229,-0.028271605,,,,
6946.59,-0.000258,-0.031851852,,,,
6946.6,-0.000239,-0.029506173,,,,
6946.61,-0.000229,-0.028271605,,,,
6946.62,-0.000219,-0.027037037,,,,
6946.63,-0.000219,-0.027037037,,,,
6946.64,-0.000209,-0.025802469,,,,
6946.65,-0.000239,-0.029506173,,,,
6946.66,-0.000229,-0.028271605,,,,
6946.67,-0.00019,-0.02345679,,,,
6946.68,-0.000199,-0.024567901,,,,
6946.69,-0.00019,-0.02345679,,,,
6946.7,-0.000229,-0.028271605,,,,
6946.71,-0.000199,-0.024567901,,,,
6946.72,-0.00018,-0.022222222,,,,
6946.73,-0.00017,-0.020987654,,,,
6946.74,-0.000209,-0.025802469,,,,
6946.75,-0.00019,-0.02345679,,,,
6946.76,-0.000199,-0.024567901,,,,
6946.77,-0.000209,-0.025802469,,,,
6946.78,-0.00019,-0.02345679,,,,
6946.79,-0.00019,-0.02345679,,,,
6946.8,-0.00017,-0.020987654,,,,
6946.81,-0.00018,-0.022222222,,,,
6946.82,-0.00017,-0.020987654,,,,
6946.83,-0.00018,-0.022222222,,,,
6946.84,-0.00017,-0.020987654,,,,
6946.85,-0.00018,-0.022222222,,,,
6946.86,-0.00019,-0.02345679,,,,
6946.87,-0.00017,-0.020987654,,,,
6946.88,-0.000199,-0.024567901,,,,
6946.89,-0.00016,-0.019753086,,,,
6946.9,-0.000151,-0.018641975,,,,
6946.91,-0.00017,-0.020987654,,,,
6946.92,-0.000199,-0.024567901,,,,
6946.93,-0.00016,-0.019753086,,,,
6946.94,-0.000141,-0.017407407,,,,
6946.95,-0.000121,-0.014938272,,,,
6946.96,-0.000141,-0.017407407,,,,
6946.97,-0.000131,-0.01617284,,,,
6946.98,-0.000121,-0.014938272,,,,
6946.99,-0.000141,-0.017407407,,,,
6947,-0.000121,-0.014938272,,,,
6947.01,-0.000121,-0.014938272,,,,
6947.02,-0.000112,-0.01382716,,,,
6947.03,-0.000121,-0.014938272,,,,
6947.04,-0.000092,-0.011358025,,,,
6947.05,-0.000102,-0.012592593,,,,
6947.06,-0.000043,-0.005308642,,,,
6947.07,-0.000092,-0.011358025,,,,
6947.08,-0.000092,-0.011358025,,,,
6947.09,-0.000102,-0.012592593,,,,
6947.1,-0.000063,-0.007777778,,,,
6947.11,-0.000053,-0.00654321,,,,
6947.12,-0.000121,-0.014938272,,,,
6947.13,-0.000073,-0.009012346,,,,
6947.14,-0.000073,-0.009012346,,,,
6947.15,-0.000053,-0.00654321,,,,
6947.16,-0.000063,-0.007777778,,,,
6947.17,-0.000063,-0.007777778,,,,
6947.18,-0.000043,-0.005308642,,,,
6947.19,-0.000063,-0.007777778,,,,
6947.2,-0.000063,-0.007777778,,,,
6947.21,-0.000082,-0.010123457,,,,
6947.22,-0.000053,-0.00654321,,,,
6947.23,-0.000063,-0.007777778,,,,
6947.24,-0.000082,-0.010123457,,,,
6947.25,-0.000092,-0.011358025,,,,
6947.26,-0.000082,-0.010123457,,,,
6947.27,-0.000053,-0.00654321,,,,
6947.28,-0.000082,-0.010123457,,,,
6947.29,-0.000082,-0.010123457,,,,
6947.3,-0.000073,-0.009012346,,,,
6947.31,-0.000073,-0.009012346,,,,
6947.32,-0.000073,-0.009012346,,,,
6947.33,-0.000053,-0.00654321,,,,
6947.34,-0.000063,-0.007777778,,,,
6947.35,-0.000073,-0.009012346,,,,
6947.36,-0.000082,-0.010123457,,,,
6947.37,-0.000063,-0.007777778,,,,
6947.38,-0.000082,-0.010123457,,,,
6947.39,-0.000073,-0.009012346,,,,
6947.4,-0.000063,-0.007777778,,,,
6947.41,-0.000063,-0.007777778,,,,
6947.42,-0.000131,-0.01617284,,,,
6947.43,-0.000102,-0.012592593,,,,
6947.44,-0.000063,-0.007777778,,,,
6947.45,-0.000053,-0.00654321,,,,
6947.46,-0.000053,-0.00654321,,,,
6947.47,-0.000063,-0.007777778,,,,
6947.48,-0.000033,-0.004074074,,,,
6947.49,-0.000033,-0.004074074,,,,
6947.5,-0.000043,-0.005308642,,,,
6947.51,-0.000053,-0.00654321,,,,
6947.52,-0.000053,-0.00654321,,,,
6947.53,-0.000014,-0.001728395,,,,
6947.54,-0.000043,-0.005308642,,,,
6947.55,0.000015,0.001851852,,,,
6947.56,-0.000033,-0.004074074,,,,
6947.57,0.000006,0.000740741,,,,
6947.58,0.000025,0.00308642,,,,
6947.59,0.000045,0.005555556,,,,
6947.6,0.000035,0.004320988,,,,
6947.61,0.000015,0.001851852,,,,
6947.62,0.000025,0.00308642,,,,
6947.63,0.000074,0.009135802,,,,
6947.64,0.000025,0.00308642,,,,
6947.65,0.000054,0.006666667,,,,
6947.66,0.000084,0.01037037,,,,
6947.67,0.000045,0.005555556,,,,
6947.68,0.000054,0.006666667,,,,
6947.69,0.000054,0.006666667,,,,
6947.7,0.000084,0.01037037,,,,
6947.71,0.000103,0.012716049,,,,
6947.72,0.000064,0.007901235,,,,
6947.73,0.000064,0.007901235,,,,
6947.74,0.000054,0.006666667,,,,
6947.75,0.000064,0.007901235,,,,
6947.76,0.000113,0.013950617,,,,
6947.77,0.000084,0.01037037,,,,
6947.78,0.000074,0.009135802,,,,
6947.79,0.000093,0.011481481,,,,
6947.8,0.000084,0.01037037,,,,
6947.81,0.000084,0.01037037,,,,
6947.82,0.000152,0.018765432,,,,
6947.83,0.000084,0.01037037,,,,
6947.84,0.000084,0.01037037,,,,
6947.85,0.000142,0.017530864,,,,
6947.86,0.000074,0.009135802,,,,
6947.87,0.000113,0.013950617,,,,
6947.88,0.000133,0.016419753,,,,
6947.89,0.000123,0.015185185,,,,
6947.9,0.000093,0.011481481,,,,
6947.91,0.000103,0.012716049,,,,
6947.92,0.000142,0.017530864,,,,
6947.93,0.000142,0.017530864,,,,
6947.94,0.000162,0.02,,,,
6947.95,0.000152,0.018765432,,,,
6947.96,0.000142,0.017530864,,,,
6947.97,0.000133,0.016419753,,,,
6947.98,0.000162,0.02,,,,
6947.99,0.000191,0.023580247,,,,
6948,0.000172,0.021234568,,,,
6948.01,0.000142,0.017530864,,,,
6948.02,0.000172,0.021234568,,,,
6948.03,0.000162,0.02,,,,
6948.04,0.000142,0.017530864,,,,
6948.05,0.000181,0.022345679,,,,
6948.06,0.000162,0.02,,,,
6948.07,0.000152,0.018765432,,,,
6948.08,0.000142,0.017530864,,,,
6948.09,0.000133,0.016419753,,,,
6948.1,0.000133,0.016419753,,,,
6948.11,0.000113,0.013950617,,,,
6948.12,0.000123,0.015185185,,,,
6948.13,0.000103,0.012716049,,,,
6948.14,0.000103,0.012716049,,,,
6948.15,0.000103,0.012716049,,,,
6948.16,0.000123,0.015185185,,,,
6948.17,0.000074,0.009135802,,,,
6948.18,0.000103,0.012716049,,,,
6948.19,0.000035,0.004320988,,,,
6948.2,-0.000004,-0.000493827,,,,
6948.21,0.000035,0.004320988,,,,
6948.22,0.000025,0.00308642,,,,
6948.23,0.000025,0.00308642,,,,
6948.24,-0.000004,-0.000493827,,,,
6948.25,-0.000014,-0.001728395,,,,
6948.26,-0.000043,-0.005308642,,,,
6948.27,-0.000033,-0.004074074,,,,
6948.28,-0.000082,-0.010123457,,,,
6948.29,-0.000092,-0.011358025,,,,
6948.3,-0.000092,-0.011358025,,,,
6948.31,-0.00017,-0.020987654,,,,
6948.32,-0.000102,-0.012592593,,,,
6948.33,-0.000151,-0.018641975,,,,
6948.34,-0.000102,-0.012592593,,,,
6948.35,-0.000112,-0.01382716,,,,
6948.36,-0.00016,-0.019753086,,,,
6948.37,-0.000141,-0.017407407,,,,
6948.38,-0.00016,-0.019753086,,,,
6948.39,-0.000151,-0.018641975,,,,
6948.4,-0.000131,-0.01617284,,,,
6948.41,-0.00017,-0.020987654,,,,
6948.42,-0.000151,-0.018641975,,,,
6948.43,-0.000151,-0.018641975,,,,
6948.44,-0.000209,-0.025802469,,,,
6948.45,-0.00017,-0.020987654,,,,
6948.46,-0.00017,-0.020987654,,,,
6948.47,-0.00016,-0.019753086,,,,
6948.48,-0.00019,-0.02345679,,,,
6948.49,-0.00017,-0.020987654,,,,
6948.5,-0.00019,-0.02345679,,,,
6948.51,-0.000151,-0.018641975,,,,
6948.52,-0.00017,-0.020987654,,,,
6948.53,-0.000219,-0.027037037,,,,
6948.54,-0.000219,-0.027037037,,,,
6948.55,-0.00016,-0.019753086,,,,
6948.56,-0.000219,-0.027037037,,,,
6948.57,-0.00019,-0.02345679,,,,
6948.58,-0.000229,-0.028271605,,,,
6948.59,-0.000209,-0.025802469,,,,
6948.6,-0.000209,-0.025802469,,,,
6948.61,-0.000209,-0.025802469,,,,
6948.62,-0.000199,-0.024567901,,,,
6948.63,-0.00019,-0.02345679,,,,
6948.64,-0.000229,-0.028271605,,,,
6948.65,-0.000199,-0.024567901,,,,
6948.66,-0.000209,-0.025802469,,,,
6948.67,-0.00018,-0.022222222,,,,
6948.68,-0.000131,-0.01617284,,,,
6948.69,-0.000199,-0.024567901,,,,
6948.7,-0.000219,-0.027037037,,,,
6948.71,-0.000199,-0.024567901,,,,
6948.72,-0.000229,-0.028271605,,,,
6948.73,-0.00017,-0.020987654,,,,
6948.74,-0.00019,-0.02345679,,,,
6948.75,-0.00017,-0.020987654,,,,
6948.76,-0.00018,-0.022222222,,,,
6948.77,-0.00017,-0.020987654,,,,
6948.78,-0.000151,-0.018641975,,,,
6948.79,-0.00016,-0.019753086,,,,
6948.8,-0.00016,-0.019753086,,,,
6948.81,-0.000131,-0.01617284,,,,
6948.82,-0.000121,-0.014938272,,,,
6948.83,-0.000131,-0.01617284,,,,
6948.84,-0.000112,-0.01382716,,,,
6948.85,-0.000112,-0.01382716,,,,
6948.86,-0.000112,-0.01382716,,,,
6948.87,-0.000112,-0.01382716,,,,
6948.88,-0.000063,-0.007777778,,,,
6948.89,-0.000092,-0.011358025,,,,
