time (s), (volts), (volts), (volts)
5688.39,0.60,-0.14,-1.77
5688.40,0.60,-0.11,-0.42
5688.41,0.60,-0.08,0.26
5688.42,0.60,-0.04,0.28
5688.43,0.60,-0.03,0.30
5688.44,0.60,0.01,0.30
5688.45,0.60,0.07,0.30
5688.46,0.60,0.12,0.27
5688.47,0.60,0.16,-1.54
5688.48,0.60,0.19,-8.81
5688.49,0.60,0.22,-1.71
5688.50,0.60,0.24,0.09
5688.51,0.60,0.26,0.04
5688.52,0.60,0.27,0.01
5688.53,0.60,0.28,-0.03
5688.54,0.60,0.28,-0.08
5688.55,0.60,0.27,-0.10
5688.56,0.60,0.26,-0.11
5688.57,0.60,0.21,-0.14
5688.58,0.60,0.22,-0.15
5688.59,0.60,0.15,-0.16
5688.60,0.60,0.12,-0.16
5688.61,0.60,0.08,-0.16
5688.62,0.60,0.03,-0.15
5688.63,0.60,-0.01,-0.13
5688.64,0.60,-0.06,-0.11
5688.65,0.60,-0.10,-0.09
5688.66,0.60,-0.14,-0.06
5688.67,0.60,-0.14,-0.06
5688.68,0.60,-0.19,-0.02
5688.69,0.60,-0.19,-1.81
5688.70,0.60,-0.18,-1.16
5688.71,0.60,-0.17,0.10
5688.72,0.60,-0.15,0.14
5688.73,0.60,-0.12,0.19
5688.74,0.60,-0.08,0.26
5688.75,0.60,-0.05,0.28
5688.76,0.60,-0.03,0.29
5688.77,0.60,0.01,0.30
5688.78,0.60,0.05,0.30
5688.79,0.60,0.11,0.28
5688.80,0.60,0.16,0.27
5688.81,0.60,0.19,-6.99
5688.82,0.60,0.22,-7.02
5688.83,0.60,0.25,0.12
5688.84,0.60,0.26,0.06
5688.85,0.60,0.28,0.01
5688.86,0.60,0.29,-0.02
5688.87,0.60,0.29,-0.07
5688.88,0.60,0.28,-0.09
5688.89,0.60,0.27,-0.11
5688.90,0.60,0.25,-0.13
5688.91,0.60,0.21,-0.15
5688.92,0.60,0.16,-0.16
5688.93,0.60,0.13,-0.16
5688.94,0.60,0.09,-0.15
5688.95,0.60,0.05,-0.15
5688.96,0.60,0.00,-0.14
5688.97,0.60,-0.04,-0.12
5688.98,0.60,-0.09,-0.10
5688.99,0.60,-0.13,-0.07
5689.00,0.60,-0.13,-0.06
5689.01,0.60,-0.18,-0.03
5689.02,0.60,-0.19,-1.18
5689.03,0.60,-0.19,-5.31
5689.04,0.60,-0.17,-8.81
5689.05,0.60,-0.16,-8.81
5689.06,0.60,-0.13,-8.81
5689.07,0.60,-0.10,0.24
5689.08,0.60,-0.06,0.27
5689.09,0.60,-0.04,0.29
5689.10,0.60,0.00,0.30
5689.11,0.60,0.05,0.30
5689.12,0.60,0.11,0.29
5689.13,0.60,0.15,0.27
5689.14,0.60,0.18,-5.17
5689.15,0.60,0.21,-3.41
5689.16,0.60,0.23,0.14
5689.17,0.60,0.26,0.09
5689.18,0.60,0.27,0.03
5689.19,0.60,0.28,0.00
5689.20,0.60,0.28,-0.05
5689.21,0.60,0.28,-0.08
5689.22,0.60,0.27,-0.11
5689.23,0.60,0.25,-0.12
5689.24,0.60,0.22,-0.14
5689.25,0.60,0.18,-0.15
5689.26,0.60,0.14,-0.16
5689.27,0.60,0.10,-0.16
5689.28,0.60,0.06,-0.16
5689.29,0.60,0.01,-0.15
5689.30,0.60,-0.04,-0.13
5689.31,0.60,-0.08,-0.11
5689.32,0.60,-0.13,-0.08
5689.33,0.60,-0.14,-0.06
5689.34,0.60,-0.16,-0.05
5689.35,0.60,-0.20,-0.61
5689.36,0.60,-0.19,-0.57
5689.37,0.60,-0.18,0.08
5689.38,0.60,-0.16,0.12
5689.39,0.60,-0.14,0.17
5689.40,0.60,-0.11,0.24
5689.41,0.60,-0.08,0.27
5689.42,0.60,-0.03,0.29
5689.43,0.60,-0.02,0.30
5689.44,0.60,0.02,0.30
5689.45,0.60,0.08,0.30
5689.46,0.60,0.13,0.28
5689.47,0.60,0.17,-1.54
5689.48,0.61,0.19,-7.00
5689.49,0.60,0.22,0.16
5689.50,0.60,0.24,0.11
5689.51,0.60,0.26,0.06
5689.52,0.60,0.27,0.02
5689.53,0.60,0.27,-0.03
5689.54,0.60,0.27,-0.07
5689.55,0.60,0.27,-0.09
5689.56,0.60,0.26,-0.11
5689.57,0.60,0.21,-0.13
5689.58,0.60,0.21,-0.15
5689.59,0.60,0.16,-0.16
5689.60,0.60,0.11,-0.16
5689.61,0.60,0.07,-0.16
5689.62,0.60,0.03,-0.15
5689.63,0.60,-0.02,-0.13
5689.64,0.60,-0.06,-0.11
5689.65,0.60,-0.10,-0.09
5689.66,0.60,-0.14,-0.06
5689.67,0.60,-0.14,-0.06
5689.68,0.60,-0.19,-0.01
5689.69,0.60,-0.19,-2.43
5689.70,0.60,-0.18,-0.56
5689.71,0.60,-0.16,0.11
5689.72,0.60,-0.15,0.15
5689.73,0.60,-0.12,0.22
5689.74,0.60,-0.09,0.26
5689.75,0.60,-0.05,0.28
5689.76,0.60,-0.01,0.30
