"time_s" "index" "u_ms" "w1_ms" "w2_ms"
"1" 0 1 0.0149 -0.0078 -0.0115
"2" 0.005 2 0.0126 -0.008 -0.0069
"3" 0.01 3 0.006 -0.0073 -0.0044
"4" 0.015 4 0.0057 -0.0086 -0.0067
"5" 0.02 5 0.0036 -0.0077 -0.0073
"6" 0.025 6 0.0035 -0.0074 -0.007
"7" 0.03 7 -0.0016 -0.008 -0.0068
"8" 0.035 8 4e-04 -0.0077 -0.007
"9" 0.04 9 -0.0044 -0.008 -0.0076
"10" 0.045 10 -0.0065 -0.0081 -0.0071
"11" 0.05 11 -0.0073 -0.0072 -0.0072
"12" 0.055 12 -0.0059 -0.008 -0.0068
"13" 0.06 13 -0.0109 -0.007 -0.0091
"14" 0.065 14 -0.0103 -0.0084 -0.0075
"15" 0.07 15 -0.0152 -0.009 -0.0081
"16" 0.075 16 -0.0137 -0.0082 -0.0085
"17" 0.08 17 -0.015 -0.0077 -0.006
"18" 0.085 18 -0.0164 -0.0081 -0.0076
"19" 0.09 19 -0.0212 -0.0089 -0.0082
"20" 0.095 20 -0.0295 -0.0079 -0.0083
"21" 0.1 21 -0.0107 -0.0071 -0.0073
"22" 0.105 22 -0.0287 -0.008 -0.0089
"23" 0.11 23 -0.0263 -0.0076 -0.0062
"24" 0.115 24 -0.0327 -0.0082 -0.0083
"25" 0.12 25 -0.0214 -0.0055 -0.0077
"26" 0.125 26 -0.0323 -0.0085 -0.0078
"27" 0.13 27 -0.0325 -0.0072 -0.007
"28" 0.135 28 -0.0259 -0.0046 -0.0073
"29" 0.14 29 -0.0317 -0.0069 -0.0067
"30" 0.145 30 -0.0338 -0.0071 -0.0047
"31" 0.15 31 -0.0414 -0.0058 -0.0074
"32" 0.155 32 -0.0372 -0.0067 -0.0068
"33" 0.16 33 -0.0402 -0.0059 -0.0079
"34" 0.165 34 -0.0394 -0.0067 -0.0061
"35" 0.17 35 -0.0428 -0.006 -0.0059
"36" 0.175 36 -0.0414 -0.0046 -0.0075
"37" 0.18 37 -0.0416 -0.0053 -0.0083
"38" 0.185 38 -0.0418 -0.0056 -0.0061
"39" 0.19 39 -0.0443 -0.005 -0.0028
"40" 0.195 40 -0.0441 -0.005 -0.004
"41" 0.2 41 -0.0455 -0.004 -0.006
"42" 0.205 42 -0.0465 -0.0036 -0.0026
"43" 0.21 43 -0.0485 -0.0054 -0.0132
"44" 0.215 44 -0.0513 -0.0049 -0.0137
"45" 0.22 45 -0.0521 -0.004 -0.0017
"46" 0.225 46 -0.0523 -0.0046 -5e-04
"47" 0.23 47 -0.0404 -0.0023 3e-04
"48" 0.235 48 -0.0479 -0.0046 -0.0034
"49" 0.24 49 -0.054 -0.0034 -0.0082
"50" 0.245 50 -0.0602 -0.002 -0.0034
"51" 0.25 51 -0.0574 -0.0038 -0.0025
"52" 0.255 52 -0.0614 -0.0045 -0.0081
"53" 0.26 53 -0.0606 -0.0046 -0.0055
"54" 0.265 54 -0.059 -0.004 -0.0072
"55" 0.27 55 -0.0604 -0.0038 0.0078
"56" 0.275 56 -0.0677 -0.003 -0.0097
"57" 0.28 57 -0.0701 -0.0032 -0.0059
"58" 0.285 58 -0.0641 -0.0042 -0.0016
"59" 0.29 59 -0.0643 -0.004 -0.0058
"60" 0.295 60 -0.0637 -0.0035 -0.0047
"61" 0.3 61 -0.0647 -0.0045 -0.0038
"62" 0.305 62 -0.0701 -0.0033 -0.0087
"63" 0.31 63 -0.0677 -0.0046 -0.007
"64" 0.315 64 -0.072 -0.0029 -0.0064
"65" 0.32 65 -0.0623 -0.0044 -0.0073
"66" 0.325 66 -0.062 -0.0036 -0.0035
